#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
#_user_support_available_at:NMFS.Stock.Synthesis@noaa.gov
#_user_info_available_at:https://vlab.ncep.noaa.gov/group/stock-synthesis
#_Start_time: Tue Sep 26 16:18:20 2017
#_Number_of_datafiles: 1
#C data file created using the SS_writedat function in the R package r4ss
#C should work with SS version: 
#C file write time: 2015-04-27 21:23:15
#_observed data: 
#V3.30.08.02-trans;_2017_09_26;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_11.6
1876 #_StartYr
2014 #_EndYr
1 #_Nseas
 12 #_months/season
2 #_Nsubseasons (even number, minimum is 2)
1 #_spawn_month
2 #_Ngenders
40 #_Nages=accumulator age
1 #_Nareas
7 #_Nfleets (including surveys)
#_fleet_type: 1=catch fleet; 2=bycatch only fleet; 3=survey; 4=ignore 
#_survey_timing: -1=for use of catch-at-age to override the month value associated with a datum 
#_fleet_area:  area the fleet/survey operates in 
#_units of catch:  1=bio; 2=num (ignored for surveys; their units read later)
#_catch_mult: 0=no; 1=yes
#_rows are fleets
#_fleet_type timing area units need_catch_mult fleetname
 1 0.16 1 1 0 WinterN  # 1
 1 0.67 1 1 0 SummerN  # 2
 1 0.16 1 1 0 WinterS  # 3
 1 0.67 1 1 0 SummerS  # 4
 3 0.73 1 2 0 TriEarly  # 5
 3 0.67 1 2 0 TriLate  # 6
 3 0.67 1 2 0 NWFSC  # 7
#_Catch data: yr, seas, fleet, catch, catch_se
#_catch_se:  standard error of log(catch)
#_NOTE:  catch data is ignored for survey fleets
 2003 9.04 2 3 2 35 0 0 0 0 0 0 15.666 15.666 1304.94 7578.66 17147.2 22271.6 18457.5 17714.3 16432.3 11811.9 13131.8 5490.17 3021.06 1212.9 758.143 199.907 0 227.552 242.58 0 0 0 0 0 0 242.58 0 450.349 2113.6 11191.4 22188.2 27720.6 19674.3 6758.16 5114.88 344.744 518.918 0 0 242.58 0 0 0 0 0 0
 2004 9.04 2 3 2 30 0 0 0 0 0 0 0 0 12.2352 1445.32 8952.64 12242.9 21547.7 18518.3 19203.2 17121.6 7459.22 5377.22 3331.98 1524.37 975.508 0 0 0 0 0 0 0 0 0 0 0 0 0 692.414 6215.45 19928.9 27680.5 17176.6 7616.69 2386.8 1801.54 7.91501 17.7501 12.9033 0 0 0 0 0 0 0
 2005 9.04 2 3 2 35 0 0 0 0 0 0 118.25 242.58 415.14 4609.68 9652.61 18059 18046.7 22896.1 21787.7 19286.3 16338 9397.9 5462.46 3284.98 1044.87 1047.99 242.58 21.871 0 0 0 0 0 0 0 0 0 0 1331.15 6120.91 20057.8 28194.1 28092.2 12703.7 5482.07 992.192 507.031 0 0 0 0 0 0 0 0 0
 2006 9.04 2 3 2 51 0 0 0 0 0 0 0 647.484 3132.66 10160.5 18096 22806.5 28762.8 31578.6 40799.5 31984.5 24490.1 15855.4 7184.42 4534.93 2000.74 128.053 345.365 149.629 160.372 0 0 0 0 0 0 0 242.58 261.523 3979.56 14105.5 27428.4 39831.9 29474 13582.6 4721.58 1852.44 1025 993.527 448.887 380.42 0 323.742 0 0 0 0
 2007 9.04 2 3 2 46 0 0 0 0 0 0 0 0 1212.9 2349.32 7638.34 16690.3 20751.5 23363.6 19076.4 22653.7 12074.4 9760.68 4366.93 2915.53 674.739 348.177 149.528 6.48782 62.9379 0 0 0 0 0 0 0 0 485.16 994.652 6472.79 16894 22652.3 23238.7 12252.1 5042.25 1862.81 458.521 28.2251 259.493 0 0 0 0 0 0 0
 2008 9.04 2 3 2 36 0 0 0 0 0 0 0 25.7724 193.586 2700.91 9656.35 9810.8 9245.5 12574.4 11446.9 11829.7 9207.3 7454.1 5529.84 1903.51 1922.5 275.501 134.746 100.192 12.4925 32.881 0 0 0 0 0 0 40.9881 553.212 1684.39 7123.55 16886 16979.7 16460.3 10826.6 3916.06 3051.88 512.474 191.176 269.381 134.691 0 0 0 0 0 0
 2009 9.04 2 3 2 66 0 0 0 0 0 337.073 0 379.395 2146.86 11919 28686.1 36832.3 43528.8 48432.5 43675 37000.1 26845.3 15335.3 7760.21 3298.56 658.676 977.306 315.936 0 11.0595 0 0 0 0 0 0 0 0 1220.87 6999.13 17112 43969.8 49832.2 40195.4 19448.4 9486.6 2680.05 792.318 264.699 0 0 0 0 0 0 0 0
 2010 9.04 2 3 2 59 0 0 0 0 0 0 0 36.8587 0 2101.1 8688.72 14332 20842.2 20961.9 22298.3 17046.1 12847.4 7739.5 6377.94 2801.47 1006.47 1532.23 35.3865 9.9947 0 0 0 0 0 0 0 0 0 279.439 548.772 3184.9 12199.9 25403.8 27687.8 13469.8 6037.25 2095.71 216.761 638.727 65.7157 0 0 0 0 0 0 0
 2011 9.04 2 3 2 47 0 0 0 0 0 0 0 727.741 2399.33 10446.5 19417.5 26474.4 24718.6 25773.4 22774.6 13857.4 7894.18 3999.12 605.903 471.064 1181.45 51.5554 442.115 242.58 0 0 0 0 0 0 0 0 0 242.58 4268.6 16723.4 33041.3 35740.2 23491.7 8197.86 1448.61 957.756 665.958 41.0903 8.21806 0 0 0 0 0 0 0
 2012 9.04 2 3 2 44 0 0 0 0 0 0 0 242.58 499.593 3772.57 13928.6 15075.9 20605.9 22011.1 22969.4 17242.3 7954.54 4429.91 2316.88 298.025 805.655 35.3894 17.6947 17.6947 0 0 0 0 0 0 0 0 0 0 2238.43 14629.2 33210.4 29245.1 37416.6 12115.7 3178.58 1888.4 362.704 17.6947 242.58 0 0 0 0 0 0 0
 2013 9.04 2 3 2 52 0 0 0 0 242.58 0 0 485.16 1111.72 5829.91 10009 19579.6 23636.6 23959.5 28142.4 21231.8 16125.5 10535.4 4673.78 2761.79 911.401 474.22 308.777 201.26 0 0 0 0 0 0 0 0 0 485.16 2425.8 10433.6 33736 43695 51190.8 42504.1 14915.5 4885.94 1181.91 0 0 0 0 0 0 0 0 0
 2014 9.04 2 3 2 59 0 0 0 0 0 0 0 727.741 619.062 2175.29 11747.7 23868.4 31613.7 34733.5 30915.6 27243.1 20785.3 11662.7 4002.65 2464.96 802.325 294.925 0 104.568 0 0 0 0 0 0 0 0 0 242.58 1832.59 13764 39801.9 62885.7 57312.8 33785.7 17276.6 4047.76 1182 104.568 0 0 0 0 0 0 0 0
 1949 2.92 3 3 2 10 0 0 0 0 0 0 0 33.2785 133.114 232.949 366.063 332.785 532.455 898.518 1064.91 1464.25 1863.59 1797.04 1031.63 632.291 266.228 133.114 33.2785 33.2785 0 33.2785 0 0 0 0 0 0 0 33.2785 33.2785 232.949 532.455 332.785 798.683 698.848 1264.58 798.683 266.228 0 0 0 0 0 0 0 0 0
 1964 2.92 3 3 2 1 0 0 0 0 0 0 0 0 0 0 99.8354 99.8354 133.114 66.5569 199.671 166.392 0 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33.2785 66.5569 199.671 232.949 66.5569 133.114 0 0 0 0 0 0 0 0 0 0 0 0
 1965 2.92 3 3 2 2 0 0 0 0 0 0 0 0 33.2785 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 166.392 565.734 399.341 299.506 0 0 0 33.2785 0 0 0 0 0 0 0 0 0 0 0
 1966 2.92 3 3 2 8 0 0 0 0 0 0 0 0 99.8354 565.734 665.569 765.404 665.569 565.734 765.404 931.797 532.455 465.898 299.506 133.114 99.8354 66.5569 33.2785 66.5569 0 0 0 0 0 0 0 0 0 33.2785 133.114 332.785 898.518 765.404 166.392 66.5569 33.2785 0 0 0 0 0 0 0 0 0 0 0
 1967 2.92 3 3 2 20 0 0 0 0 0 0 33.2785 66.5569 33.2785 366.063 998.354 1663.92 2462.61 3494.24 2961.78 1963.43 1597.37 1198.02 798.683 399.341 232.949 33.2785 66.5569 0 0 0 0 0 0 0 0 0 0 0 99.8354 1031.63 4193.09 3627.35 2029.99 632.291 199.671 33.2785 0 0 0 0 0 0 0 0 0 0
 1968 2.92 3 3 2 11 0 0 0 0 0 0 0 0 166.392 831.961 798.683 865.24 1497.53 1996.71 1797.04 1597.37 898.518 931.797 366.063 166.392 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 266.228 765.404 931.797 1098.19 1231.3 199.671 99.8354 0 0 0 0 0 0 0 0 0 0 0
 1969 2.92 3 3 2 14 0 0 0 0 0 0 0 0 166.392 399.341 565.734 565.734 1164.75 831.961 1564.09 1763.76 1231.3 698.848 898.518 499.177 499.177 332.785 199.671 33.2785 0 0 0 0 0 0 0 0 0 0 133.114 532.455 1297.86 698.848 465.898 366.063 266.228 133.114 66.5569 166.392 33.2785 0 0 0 0 0 0 0
 1970 2.92 3 3 2 13 0 0 0 0 0 0 0 33.2785 166.392 399.341 831.961 1397.7 1364.42 1564.09 1763.76 798.683 465.898 199.671 166.392 232.949 66.5569 33.2785 66.5569 133.114 0 0 0 0 0 0 0 0 0 266.228 665.569 1131.47 1763.76 865.24 565.734 266.228 133.114 0 33.2785 0 0 0 0 0 0 0 0 0
 1971 2.92 3 3 2 7 0 0 0 0 0 0 0 0 0 1191.01 2432.1 4172.72 4292.77 1345.29 1413.44 1362.63 1132.04 682.493 99.8354 66.5569 156.344 0 0 0 0 0 0 0 0 0 0 0 0 0 1445.27 7000.65 5467.94 416.499 727.741 33.2785 242.58 242.58 0 0 0 0 0 0 0 0 0 0
 1972 2.92 3 3 2 23 0 0 0 0 0 170.147 0 0 165.667 557.08 1552.18 4907.36 7987.71 13773.1 12436.4 9222.99 8292.76 5066.44 2819.47 2547.03 2195.69 864.454 381.487 107.78 93.8718 0 0 0 0 0 0 0 0 0 130.305 5917.63 7406.46 11939.9 5461.41 2138.27 692.49 421.205 328.562 79.3214 0 0 0 0 0 0 0 0
 1973 2.92 3 3 2 12 0 0 0 0 0 0 0 0 457.41 1593.86 5920.88 1807.12 2483.91 4210.22 5697.1 5282.39 3988.25 2132.56 1865.25 1011.69 529.922 355.51 33.2785 80.1203 0 0 0 0 0 0 0 0 0 0 225.943 1949.17 5477.22 6586.08 2348 790.869 116.837 56.4858 0 0 0 0 0 0 0 0 0 0
 1974 2.92 3 3 2 31 0 0 0 0 0 0 23.2733 5.74312 197.329 337.77 1457.42 2774.04 4027.04 10202.9 16156.1 12744.7 11856.1 6579.8 3118.6 2057.52 532.706 13.3339 56.0348 0 0 0 0 0 0 0 0 0 0 75.5629 570.739 2799.2 8531.11 16517.9 10559.5 5962.81 1681.23 727.741 625.337 83.7837 0 0 0 0 0 0 0 0
 1975 2.92 3 3 2 11 0 0 0 0 0 0 130.589 814.8 1105.26 1556.35 3791.68 3764.3 6110.76 4892.46 1969.2 1737.01 1331.26 939.081 908.149 127.021 0 33.2785 0 0 0 0 0 0 0 0 0 0 174.119 2399.88 1615.55 3117.07 5472.35 3387.68 689.75 242.58 230.49 0 0 0 0 0 0 0 0 0 0 0
 1976 2.92 3 3 2 12 0 0 0 0 0 0 0 0 66.5569 399.341 765.404 1198.02 798.683 898.518 1098.19 665.569 898.518 732.126 499.177 465.898 266.228 33.2785 33.2785 0 33.2785 0 0 0 0 0 0 0 0 33.2785 99.8354 698.848 2262.94 2262.94 1530.81 798.683 532.455 166.392 166.392 66.5569 0 0 0 0 0 0 0 0
 1977 2.92 3 3 2 8 0 0 0 0 0 0 0 11.8418 734.528 1434.55 1684.91 840.021 2389.63 2429.3 4578.84 3047.14 3493.74 5026.44 2142.37 2686.79 973.17 581.248 434.755 242.58 0 0 0 0 0 0 0 0 457.43 457.43 2300.01 766.67 4378.06 4299.87 2025.31 973.17 575.239 485.16 242.58 258.144 11.8418 0 15.5635 0 0 0 0 0
 1978 2.92 3 3 2 17 0 0 0 0 0 0 76.9496 1265.45 3285.39 3460.91 5764.35 10208.8 9441.12 6523.11 6199.44 5564.29 5790.03 2057.68 434.502 214.265 0 290.561 0 0 0 0 0 0 0 0 485.16 0 307.799 639.06 8602.35 9733.39 10318.6 17690.1 12136.1 1762.92 198.258 0 242.58 0 0 101.103 0 0 0 0 0 0
 1979 2.92 3 3 2 7 0 0 0 0 0 0 0 727.741 3746.64 3100.15 1644.67 781.712 727.741 1268.04 5179.29 4736.09 4002.66 3932.46 1948.68 1540.58 971.494 1090.52 527.125 201.788 0 0 0 0 0 0 0 0 0 0 2008.37 2588.29 4905.24 5581.69 8117.53 3603.6 2307.94 201.788 0 0 0 0 0 0 0 0 0 0
 1980 2.92 3 3 2 6 0 0 0 0 0 0 242.58 2724.23 7440.79 11298.2 5579.5 4772.41 3956.14 2201.72 2071.18 727.741 1343.44 485.16 970.321 0 690.394 154.053 0 0 0 0 0 0 0 0 0 308.105 0 550.686 3751.93 4772.92 6512.48 2290.76 858.28 242.58 0 0 0 205.233 0 0 0 0 0 0 0 0
 1981 2.92 3 3 2 36 0 0 0 0 0 0 264.164 3721.29 6485.77 8191.97 4536.84 4613.94 3703.58 7601.82 9934.47 9495.84 9340.12 5285.09 5454.82 4813.64 2907.15 2458.6 1134.09 600.878 12.8348 14.6779 0 0 0 0 0 0 46.9289 850.23 2809.5 8057.28 9498.14 8117.72 5639.28 3057.58 1564.98 433.048 0 0 0 41.8416 0 0 0 0 0 0
 1982 2.92 3 3 2 26 0 0 0 0 0 0 0 117.84 1237.14 2832.8 3628.6 6152.24 7705.66 5959.78 5690.22 5012.92 5416.38 3152.56 2948.59 1907.34 517.589 183.73 261.058 0 0 0 0 0 0 0 0 0 0 566.56 6253.83 26450.4 19655.6 12405.9 4024.69 1781.52 782.341 767.447 136.665 0 0 0 0 0 0 0 0 0
 1983 2.92 3 3 2 26 0 0 0 0 0 0 0 970.321 2043.4 1289.73 1977.68 3169.52 3942.64 6591.21 4672.63 5294.1 5472.1 4552.69 3767.91 2892.54 1911.64 931.912 928.261 450.661 248.734 0 0 0 0 0 0 0 485.16 1237.58 2115.13 4700.4 10438.1 13046.3 8852.34 5895.7 1143.45 1967.6 756.678 9.54145 0 0 0 0 0 0 0 0
 1984 2.92 3 3 2 13 0 0 0 0 0 0 0 0 66.5569 817.945 988.781 1142.68 1710.88 2911.04 5616.23 7710.13 9643.98 5910.57 4554.64 2161.09 2545.77 794.297 0 242.58 0 0 0 0 0 0 0 0 0 1701.71 6497.89 9348.95 4378.86 4263.45 3680.5 1266.02 1047.29 494.832 142.1 142.1 0 0 0 0 0 0 0 0
 1985 2.92 3 3 2 19 0 0 0 0 0 0 0 242.58 821.801 8365.51 5332.66 5806.6 6091.43 6692.7 9706.48 9643.19 8243.3 5485.44 2691.9 751.189 94.0605 58.1346 58.1346 0 0 0 0 0 0 0 0 0 460.711 1053.73 19907.6 33520.7 18867.8 4918.21 3132.26 1421.51 242.58 58.1346 0 0 101.104 0 0 0 0 0 0 0
 1986 2.92 3 3 2 12 0 0 0 0 0 0 0 0 6631.72 9382.15 9963.63 5725.61 4334.34 4787.39 3849.18 5304.66 6274.98 3153.54 970.321 1455.48 727.741 0 0 0 0 0 0 0 0 0 0 0 0 453.055 6000.29 18211.4 16788 19827.4 6792.25 3849.18 1940.64 485.16 0 0 0 0 485.16 0 0 0 0 0
 1987 2.92 3 3 2 20 0 0 0 0 0 0 0 423.946 423.946 3657.65 2284.03 4678.25 6447.84 2978.45 8232.63 6381.38 2617.4 3203.62 1731.19 2473.11 744.633 424.116 1548.2 424.116 0 0 0 0 0 0 0 0 423.946 9974.15 20334.9 23012.8 18241.8 13127.9 4920.13 3952.37 35.1904 106.557 0 0 0 0 0 0 0 0 0 0
 1988 2.92 3 3 2 12 0 0 0 0 485.16 0 0 1370.31 4596.09 11815.8 12626.5 12530.8 3631.15 4644.06 6584.7 1802.28 1871.46 1871.46 1455.48 970.321 485.16 0 485.16 415.978 0 0 0 0 0 0 0 0 0 885.15 6051.57 13004.3 16698.5 21608.7 7277.41 3396.12 2910.96 485.16 0 0 0 0 0 0 0 0 0 0
 1989 2.92 3 3 2 18 0 0 0 0 0 0 0 0 227.098 5378.08 15521 23783.3 18964.7 9550.48 10520.8 5320.33 3941.21 3577.82 1333.71 1061.17 0 0 0 0 0 0 0 0 0 0 242.58 0 0 0 4593.54 23120.5 26122.3 16101.1 6307.08 3972.13 970.321 970.321 0 0 0 0 0 0 0 0 0 0
 1990 2.92 3 3 2 4 0 0 0 0 0 0 0 0 0 0 0 2621.27 2331.58 4952.84 4279.23 3019.22 4858.62 4373.46 1650.95 195.467 0 970.321 485.16 0 0 0 0 0 0 0 0 0 0 0 0 0 1462.5 2244.36 195.467 195.467 195.467 0 0 0 0 0 0 0 0 0 0 0
 1991 2.92 3 3 2 24 0 0 0 0 0 0 0 0 2159.81 5440.1 5791.85 12576.2 12276.6 22215 20606.8 9265.36 5704.32 4566.5 2425.8 2425.8 1940.64 852.719 485.16 0 0 0 0 0 0 0 0 0 317.662 0 13587.8 29809.4 28872.9 14687.2 4851.6 1940.64 0 0 0 0 0 0 0 0 0 0 0 0
 1992 2.92 3 3 2 12 0 0 0 0 0 0 0 0 0 0 970.321 7754.73 4342.93 10665.7 10657.9 6768.74 5328.93 1455.48 1940.64 1455.48 970.321 485.16 485.16 485.16 0 0 0 0 0 0 0 0 0 0 970.321 4835.93 13975.6 10595.2 3356.94 477.324 962.484 0 0 0 0 0 0 0 0 0 0 0
 1994 2.92 3 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.8919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.8919 0 0 0 0 0 0 0 0 0 0 0
 2002 2.92 3 3 2 15 0 0 0 0 119.928 239.856 1082.08 1559.07 0 0 0 556.723 1756.08 1272.2 2573.32 2716.9 5579.34 5579.34 3881.28 2425.8 1455.48 363.87 0 0 0 0 0 0 0 0 119.928 239.856 119.928 1559.07 4336.48 9907.65 16242 20526 13526.5 6005.21 1086.43 2134.71 0 0 0 0 0 121.29 0 0 0 0
 2003 2.92 3 3 2 7 0 0 0 0 0 0 0 363.87 539.067 3134.88 1869.73 753.275 485.16 1698.06 1698.06 1940.64 2910.96 2183.22 1212.9 485.16 485.16 0 0 0 0 0 0 0 0 0 0 242.58 0 363.87 2857.06 8994.13 5650.25 7494.45 2910.96 2668.38 727.741 242.58 242.58 0 0 0 0 0 0 0 0 0
 2004 2.92 3 3 2 12 0 0 0 0 0 0 0 242.58 485.16 2261.25 3884.79 3123.54 3039.01 3637.24 1912.64 1106.87 2835.45 805.768 1290.93 379.128 136.548 0 0 0 0 0 0 0 0 0 0 0 0 242.58 1611.54 8048.03 9289.09 6276.12 2802.93 1013.31 0 0 0 0 0 0 0 0 0 0 0 0
 2005 2.92 3 3 2 9 0 0 0 0 0 0 0 0 782.378 1661.9 3243.23 4341.45 4652.6 3623.95 4155.86 2737.39 242.58 992.565 287.069 0 0 0 242.58 0 0 0 0 0 0 0 0 0 0 195.751 2362.91 4574.57 4206.72 827.382 518.069 794.474 242.58 0 0 0 0 0 0 0 0 0 0 0
 2006 2.92 3 3 2 26 0 0 0 0 0 0 0 0 620.356 1680.15 3299.62 7870.93 8677.64 8730.11 7495.47 5306.11 3290.45 1751.04 1358.58 242.58 242.58 176.964 0 0 0 0 0 0 0 0 0 0 0 1254.04 6329.29 18383.9 13554.3 6739.67 2961.82 488.874 0 0 0 0 0 0 0 0 0 0 0 0
 2007 2.92 3 3 2 42 0 0 0 0 0 0 0 0 5.61359 1851.34 6911.21 9597.45 10026.8 9658.58 14150.3 8788.68 8331.89 4307.49 1091.61 1647.73 363.87 0 121.29 0 0 0 0 0 0 0 0 0 120.257 1507.85 12444.7 28885.9 29354.6 21565.8 11489.5 1417.08 1224.54 0 0 0 121.29 0 121.29 0 121.29 0 0 0
 2008 2.92 3 3 2 58 0 0 0 0 0 0 203.653 0 310.807 906.93 2401.28 4709.97 10264.9 18799.5 21863.1 20515 15145.1 12243.3 6773.14 2424.31 885.186 242.58 242.58 0 0 0 0 0 0 0 0 238.768 226.357 5450.62 19837.8 41768.8 39284.2 30266.3 18034.2 5607.34 1026.37 293.131 0 0 257.082 0 0 0 0 0 0 0
 2009 2.92 3 3 2 62 0 0 0 0 15.5507 15.5507 0 284.337 1192.71 2066.78 5069.97 9256.63 14098.7 15373.5 14400.7 13028.6 13029.1 8667.49 8233.26 3445.28 1285.55 242.58 159.454 0 0 0 0 0 0 0 95.5604 15.5507 0 2129.15 19788.1 51971.6 38130.8 18628 13450.7 6796.97 831.07 733.021 180.997 980.858 171.753 0 0 0 195.192 0 0 0
 2010 2.92 3 3 2 31 0 0 71.4281 0 0 0 0 0 28.9025 512.135 1943.02 2167.57 3661.25 5364.83 4722.07 6124.19 5344.21 5314.03 3831.29 2636.78 94.2058 478.781 0 0 0 0 0 0 0 0 0 0 101.482 473.339 2459.96 5290.37 5786.84 8446.28 7846.5 5003.44 1226.54 0 0 0 0 0 0 0 0 0 0 0
 2011 2.92 3 3 2 18 0 0 0 0 0 0 0 0 0 354.693 253.173 1286.6 1635.34 1692.41 2496.26 2667.37 2882.85 1069.72 1116.6 1175.48 284.055 522.076 0 1.91662 1.91662 0 0 0 0 0 0 0 0 149.526 4456.18 11210.6 8582.78 7316.49 3709.12 713.703 361.315 0 0 0 0 0 0 0 0 1.91662 1.91662 0
 2012 2.92 3 3 2 32 0 0 0 0 9.17434 63.4265 95.1398 126.853 0 0 153.272 1805.27 3237.54 1500.98 3406.9 3242.8 2747.19 3884.75 3813.4 2175.3 487.58 113.962 0 0 0 0 0 0 0 0 96.0072 63.4265 95.1398 1253.03 5266.51 17846.7 25242.5 22333.4 11730.2 4761.03 1038.52 2.78396 0 0 0 0 0 113.962 0 0 0 0
 2013 2.92 3 3 2 37 0 0 0 0 0 0 0 0 167.186 453.92 1628.74 2559.15 4148.72 6937.15 4512.51 8090.14 4870.39 3243.62 2403.25 1086.99 599.347 59.1373 0 0 0 0 0 0 0 0 0 0 0 1272.2 11220.4 32432.5 36561.2 21765.1 12155.7 3861.4 970.321 374.866 0 0 242.58 0 0 0 0 0 0 0
 2014 2.92 3 3 2 22 0 0 0 0 0 0 0 146.185 0 479.217 1542.26 2927.56 4964.85 6912.35 8247.73 4560.51 7034.83 4123.86 1698.06 1698.06 485.16 0 0 0 0 0 0 0 0 0 0 0 0 235.993 5218.16 29211.5 41941.3 20416.9 9883.31 2313.15 0 533.676 0 0 0 0 0 0 0 0 0 0
 1948 9.04 4 3 2 4 0 0 0 0 0 0 0 0 0 0 66.5569 166.392 133.114 133.114 399.341 499.177 232.949 399.341 698.848 166.392 199.671 33.2785 66.5569 0 66.5569 0 0 0 0 0 0 0 0 0 0 33.2785 199.671 332.785 465.898 798.683 765.404 599.012 232.949 33.2785 33.2785 0 0 0 0 0 0 0
 1949 9.04 4 3 2 4 0 0 0 0 0 0 0 0 0 0 66.5569 33.2785 166.392 99.8354 133.114 133.114 332.785 432.62 133.114 133.114 0 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99.8354 332.785 632.291 965.075 1131.47 732.126 299.506 133.114 33.2785 0 0 0 0 0 0 0
 1962 9.04 4 3 2 3 0 0 0 0 0 0 0 0 0 166.392 133.114 166.392 465.898 399.341 765.404 732.126 366.063 499.177 232.949 66.5569 66.5569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 99.8354 133.114 432.62 166.392 33.2785 66.5569 0 0 0 0 0 0 0 0 0 0 0
 1964 9.04 4 3 2 22 0 0 0 0 0 0 0 99.8354 532.455 1331.14 1663.92 1497.53 1663.92 1896.87 1763.76 1630.64 1564.09 1464.25 1331.14 898.518 266.228 232.949 0 0 0 0 0 0 0 0 0 0 33.2785 166.392 965.075 1996.71 2562.44 2495.88 1564.09 1198.02 765.404 232.949 33.2785 0 0 0 0 0 0 0 0 0
 1965 9.04 4 3 2 14 0 0 0 0 0 0 0 0 133.114 565.734 1064.91 1364.42 1530.81 1297.86 1131.47 865.24 1098.19 931.797 998.354 1264.58 432.62 432.62 133.114 66.5569 0 0 0 0 0 0 0 0 0 0 33.2785 1064.91 1630.64 1397.7 1131.47 565.734 133.114 99.8354 33.2785 0 0 0 0 0 0 0 0 0
 1966 9.04 4 3 2 33 0 0 0 0 0 0 0 66.5569 232.949 1031.63 1963.43 2762.11 3660.63 3560.79 3161.45 1930.15 1530.81 965.075 532.455 465.898 232.949 266.228 199.671 33.2785 0 0 0 0 0 0 0 0 0 33.2785 698.848 3727.19 6422.74 7088.31 3860.3 1364.42 465.898 166.392 33.2785 0 0 0 0 0 0 0 0 0
 1967 9.04 4 3 2 44 0 0 0 0 0 0 0 33.2785 565.734 1331.14 2529.16 3527.52 4891.93 4559.15 5657.34 5823.73 4259.64 2828.67 3793.74 2296.21 1630.64 665.569 199.671 66.5569 0 0 0 0 0 0 0 0 0 133.114 865.24 1797.04 2529.16 3727.19 2429.33 1830.32 1397.7 865.24 166.392 0 0 0 0 0 0 0 0 0
 1968 9.04 4 3 2 87 0 0 0 0 0 0 0 33.2785 599.012 2096.54 5590.78 6422.74 6223.07 5990.12 7188.15 6489.3 4758.82 3261.29 2329.49 2529.16 1730.48 1064.91 532.455 133.114 0 0 0 0 0 0 0 0 33.2785 99.8354 1697.2 5857.01 7986.83 8419.45 10516 8818.79 6256.35 4292.92 2096.54 532.455 0 33.2785 0 0 0 0 0 0
 1969 9.04 4 3 2 49 0 0 0 0 0 0 0 99.8354 399.341 1464.25 2529.16 3427.68 4292.92 4692.26 3693.91 3294.57 2495.88 2229.66 1663.92 1564.09 1131.47 732.126 532.455 166.392 0 0 0 0 0 0 0 0 33.2785 465.898 831.961 2462.61 4725.54 6123.24 5158.16 3228.01 2595.72 2163.1 865.24 266.228 66.5569 66.5569 0 0 0 0 0 0
 1970 9.04 4 3 2 29 0 0 0 0 0 0 0 33.2785 366.063 1430.97 3128.17 1797.04 1264.58 1064.91 1364.42 1131.47 1031.63 732.126 831.961 698.848 765.404 632.291 465.898 99.8354 0 0 0 0 0 0 33.2785 0 0 0 732.126 2462.61 3261.29 1996.71 1098.19 1064.91 865.24 1331.14 499.177 399.341 33.2785 0 0 0 0 0 0 0
 1971 9.04 4 3 2 37 0 0 0 0 0 0 0 1.25306 14.0892 91.687 455.611 769.86 939.027 859.976 784.7 678.765 345.286 413.798 202.923 96.6247 52.8276 19.3166 9.24015 14.4272 0 0 0 0 0 0 0 0 0 5.37897 28.8117 381.521 767.847 612.622 363.101 336.201 177.076 54.1631 37.3082 17.22 0 0 0 0 0 0 0 0
 1972 9.04 4 3 2 39 0 0 0 0 0 0 0 5.21481 41.3259 165.628 278.43 1124.43 1167.07 1147.46 1695.85 1287.63 665.372 1094.64 765.289 231.459 119.776 43.3037 94.0519 2.22222 47.1481 0 0 0 0 0 0 0 0 12.6074 130.191 608.11 1670.74 2373.04 2446.77 1128.29 469.956 76.1736 97.9757 11.8148 0 0 0 0 0 0 0 0
 1973 9.04 4 3 2 41 0 0 0 0 0 0 0 5.39474 26.7895 168.241 208.163 344.059 594.756 865.896 594.14 760.247 475.235 546.497 265.104 122.892 219.894 74.9471 52.8346 64.8684 7.53289 0 0 0 0 0 0 43.7368 0 10.8684 234.211 637.154 781.579 1414.84 1167.59 1190.89 625.587 375.696 151.427 62.0771 20.95 0 0 0 0 0 0 0
 1974 9.04 4 3 2 35 0 0 0 0 0 0 0 39.9729 77.1097 471.873 743.751 736.647 550.437 570.664 472.953 490.616 396.646 176.901 178.852 53.618 31.4401 28.6409 0 2.33791 0 0 0 0 0 0 0 0 0 67.2298 283.319 665.179 709.631 853.955 1089.71 570.491 454.51 110.954 16.1721 4.30175 0 0 0 0 0 0 0 0
